name,huc4,count_inundated,count_huc,area_inundated
landsat,1401,2575603,429629292,257.5603
landsat,1402,1459827,340589925,145.9827
landsat,1403,933596,352843392,93.3596
landsat,1404,7230331,969547109,723.0331
landsat,1405,1336071,593939798,133.6071
landsat,1406,4156213,637829206,415.6213
landsat,1407,6353877,565115928,635.3877
landsat,1408,2830520,1009309172,283.052
landsat,1501,6664098,1222043022,666.4098
landsat,1502,1203118,1053204694,120.3118
landsat,1503,4133306,654807084,413.3306
landsat,1504,560476,560152278,56.0476
landsat,1505,645388,615260204,64.5388
landsat,1506,2053046,512777668,205.3046
landsat,1507,710917,559940257,71.0917
sentinel,1401,4258831,429628982,425.8831
sentinel,1402,2504313,340590021,250.4313
sentinel,1403,3052648,352843523,305.2648
sentinel,1404,9816166,969547202,981.6166
sentinel,1405,2944829,593939768,294.4829
sentinel,1406,7329681,637829361,732.9681
sentinel,1407,8520026,565115775,852.0026
sentinel,1408,5022125,1009309192,502.2125
sentinel,1501,18950293,1222043122,1895.0293
sentinel,1502,1786826,1053204488,178.6826
sentinel,1503,6320891,654807125,632.0891
sentinel,1504,941538,560152355,94.1538
sentinel,1505,967114,615260357,96.7114
sentinel,1506,3150658,512777451,315.0658
sentinel,1507,1515664,559940324,151.5664
