streamorde,stream_segment_total,stream_segment_count,total_water_pixel_count,huc_id,detection_ratio,detection_perc
1,29490,1323,167951,1403,0.04486266531027467,4.49
2,13307,710,115491,1403,0.0533553768693169,5.34
3,6524,368,67354,1403,0.056407112201103615,5.64
4,3373,190,51972,1403,0.0563296768455381,5.63
5,1627,77,30260,1403,0.04732636754763368,4.73
6,753,36,18853,1403,0.04780876494023904,4.78
7,822,152,62391,1403,0.18491484184914841,18.49
8,261,192,26460,1403,0.735632183908046,73.56
9,408,408,434135,1403,1.0,100.0
1,22909,968,317617,1407,0.04225413592911083,4.23
2,11007,559,287816,1407,0.05078586354138276,5.08
3,5684,286,173741,1407,0.05031667839549613,5.03
4,3162,202,194554,1407,0.06388361796331436,6.39
5,1701,149,177309,1407,0.08759553203997648,8.76
6,1160,139,127131,1407,0.11982758620689656,11.98
7,460,92,85270,1407,0.2,20.0
9,3,3,3533,1407,1.0,100.0
10,289,289,886323,1407,1.0,100.0
1,55762,5979,958854,1404,0.10722355726121732,10.72
2,27057,3230,663396,1404,0.11937761023025464,11.94
3,13614,1545,455054,1404,0.1134861172322609,11.35
4,7270,699,293084,1404,0.09614855570839065,9.61
5,5231,448,161633,1404,0.08564328044350984,8.56
6,2400,491,253019,1404,0.20458333333333334,20.46
7,1729,781,285402,1404,0.4517061885482938,45.17
8,1099,1065,992441,1404,0.9690627843494085,96.91
1,60095,1108,85668,1504,0.01843747399950079,1.84
2,30576,824,84019,1504,0.02694924123495552,2.69
3,17706,482,53079,1504,0.027222410482322375,2.72
4,11068,153,28415,1504,0.01382363570654138,1.38
5,4570,146,23761,1504,0.03194748358862144,3.19
6,1828,82,10198,1504,0.044857768052516414,4.49
7,1586,302,20497,1504,0.19041614123581338,19.04
8,693,250,50597,1504,0.36075036075036077,36.08
1,51984,2168,732023,1503,0.04170514004309018,4.17
2,28938,1269,401701,1503,0.043852374041053285,4.39
3,16934,569,247100,1503,0.03360103932916027,3.36
4,8978,409,177276,1503,0.045555803074181334,4.56
5,4132,180,72191,1503,0.04356243949661181,4.36
6,1505,234,44988,1503,0.15548172757475084,15.55
7,953,87,15852,1503,0.0912906610703043,9.13
8,547,72,36831,1503,0.1316270566727605,13.16
9,1,1,69,1503,1.0,100.0
10,2841,1490,1392730,1503,0.5244632171770504,52.45
1,43513,493,83473,1507,0.011329947372049733,1.13
2,25833,340,57129,1507,0.013161460147872875,1.32
3,16495,145,29299,1507,0.008790542588663231,0.88
4,9777,43,16354,1507,0.0043980771197708905,0.44
5,5444,54,37005,1507,0.009919177075679648,0.99
6,2337,9,810,1507,0.0038510911424903724,0.39
7,804,3,304,1507,0.0037313432835820895,0.37
8,262,90,70804,1507,0.3435114503816794,34.35
9,718,83,11263,1507,0.11559888579387187,11.56
1,51384,2461,345953,1506,0.04789428615911568,4.79
2,24201,1417,272596,1506,0.058551299533077146,5.86
3,13901,802,166489,1506,0.057693691101359613,5.77
4,7562,418,112204,1506,0.05527638190954774,5.53
5,4136,209,46226,1506,0.05053191489361702,5.05
6,1474,107,15722,1506,0.07259158751696065,7.26
7,2185,1397,362593,1506,0.6393592677345538,63.94
8,284,244,190983,1506,0.8591549295774648,85.92
1,57908,2913,269900,1502,0.050303930372314704,5.03
2,29354,1875,205193,1502,0.06387545138652313,6.39
3,15086,1060,137755,1502,0.07026382076097043,7.03
4,8227,473,98320,1502,0.05749361857299137,5.75
5,3807,219,66251,1502,0.05752561071710008,5.75
6,1561,110,27146,1502,0.07046764894298527,7.05
7,982,78,22648,1502,0.07942973523421588,7.94
8,343,69,16006,1502,0.20116618075801748,20.12
1,87406,3804,408895,1408,0.043521039745555226,4.35
2,41781,2433,302926,1408,0.05823221081352768,5.82
3,20892,1171,193918,1408,0.05605016274171932,5.61
4,11182,553,162932,1408,0.0494544804149526,4.95
5,6065,308,79770,1408,0.05078318219291014,5.08
6,3236,248,59612,1408,0.07663782447466007,7.66
7,1881,249,96341,1408,0.13237639553429026,13.24
8,1147,897,284975,1408,0.7820401046207498,78.2
9,1133,984,506603,1408,0.8684907325684025,86.85
1,57596,948,83833,1505,0.016459476352524482,1.65
2,33269,632,54832,1505,0.018996663560672096,1.9
3,19853,342,45457,1505,0.01722661562484259,1.72
4,11420,162,15711,1505,0.014185639229422066,1.42
5,3893,70,8552,1505,0.017980991523246854,1.8
6,1491,33,11967,1505,0.022132796780684104,2.21
7,1208,11,533,1505,0.009105960264900662,0.91
8,406,43,4391,1505,0.10591133004926108,10.59
9,13,1,194,1505,0.07692307692307693,7.69
1,77714,2353,430967,1501,0.030277684844429574,3.03
2,40889,1601,486321,1501,0.039154784905475803,3.92
3,22732,1123,335762,1501,0.04940172444131621,4.94
4,11125,557,133135,1501,0.05006741573033708,5.01
5,4778,202,59243,1501,0.04227710339053997,4.23
6,2267,136,30363,1501,0.0599911777679753,6.0
7,1647,169,58454,1501,0.10261080752884032,10.26
8,474,178,67940,1501,0.3755274261603376,37.55
9,65,65,107411,1501,1.0,100.0
10,1233,1216,1122441,1501,0.986212489862125,98.62
1,55403,3038,323109,1405,0.054834575744995756,5.48
2,26969,1749,216628,1405,0.06485223775445882,6.49
3,13774,999,154730,1405,0.07252795121242922,7.25
4,6513,327,69666,1405,0.05020727775218793,5.02
5,3281,137,44841,1405,0.041755562328558364,4.18
6,1810,103,50175,1405,0.0569060773480663,5.69
7,2585,1799,548957,1405,0.6959381044487427,69.59
8,747,731,417751,1405,0.9785809906291834,97.86
1,67983,3833,572512,1401,0.05638174249444714,5.64
2,31896,2374,431335,1401,0.07442939553549034,7.44
3,16610,1207,235562,1401,0.07266706803130644,7.27
4,8755,656,180714,1401,0.07492861222158767,7.49
5,3932,356,168860,1401,0.09053916581892167,9.05
6,1769,297,171119,1401,0.16789146410401357,16.79
7,1038,254,62514,1401,0.24470134874759153,24.47
8,652,643,188110,1401,0.9861963190184049,98.62
9,882,842,456146,1401,0.9546485260770975,95.46
1,28944,2753,620748,1406,0.0951147042564953,9.51
2,13671,1205,350440,1406,0.08814278399531855,8.81
3,7703,599,252336,1406,0.07776191094378813,7.78
4,4240,331,152374,1406,0.07806603773584905,7.81
5,3177,190,142638,1406,0.05980484734025811,5.98
6,1186,82,33130,1406,0.06913996627318718,6.91
7,872,372,73188,1406,0.42660550458715596,42.66
8,2,2,662,1406,1.0,100.0
9,1234,1223,1460890,1406,0.9910858995137763,99.11
1,34852,1637,254093,1402,0.0469700447607024,4.7
2,16830,901,169381,1402,0.05353535353535353,5.35
3,9118,492,105866,1402,0.0539592015792937,5.4
4,4505,260,67808,1402,0.05771365149833518,5.77
5,2166,176,81295,1402,0.08125577100646353,8.13
6,1253,187,83378,1402,0.14924181963288108,14.92
7,851,291,39955,1402,0.3419506462984724,34.2
8,456,449,334672,1402,0.9846491228070176,98.46
