streamorde,stream_segment_total,stream_segment_count,total_water_pixel_count,huc_id,detection_ratio,detection_perc
1,29490,3355,480308,1403,0.11376737877246525,11.38
2,13307,1471,224536,1403,0.11054332306304952,11.05
3,6524,795,131940,1403,0.12185775597792765,12.19
4,3373,464,100107,1403,0.13756300029647198,13.76
5,1627,243,66970,1403,0.14935464044253227,14.94
6,753,281,46326,1403,0.37317397078353254,37.32
7,822,780,295624,1403,0.948905109489051,94.89
8,261,258,205472,1403,0.9885057471264368,98.85
9,408,408,621723,1403,1.0,100.0
1,22909,2997,539201,1407,0.1308219477061417,13.08
2,11007,1246,367952,1407,0.1132006904697011,11.32
3,5684,727,228106,1407,0.12790288529204785,12.79
4,3162,499,228044,1407,0.15781151170145477,15.78
5,1701,403,205290,1407,0.23691945914168136,23.69
6,1160,443,185734,1407,0.38189655172413794,38.19
7,460,237,171029,1407,0.5152173913043478,51.52
9,3,3,3576,1407,1.0,100.0
10,289,289,937395,1407,1.0,100.0
1,55762,9028,1719507,1404,0.16190237079014383,16.19
2,27057,4397,1041948,1404,0.1625087777654581,16.25
3,13614,2108,633505,1404,0.1548406052592919,15.48
4,7270,1090,401335,1404,0.1499312242090784,14.99
5,5231,1552,448040,1404,0.29669279296501627,29.67
6,2400,1473,1000348,1404,0.61375,61.38
7,1729,1236,672083,1404,0.714864083285136,71.49
8,1099,1094,1437359,1404,0.9954504094631483,99.55
1,60095,2579,180071,1504,0.042915383975372326,4.29
2,30576,1498,141007,1504,0.04899267399267399,4.9
3,17706,798,90086,1504,0.04506946797695696,4.51
4,11068,373,52481,1504,0.03370075894470546,3.37
5,4570,267,45507,1504,0.05842450765864333,5.84
6,1828,127,25455,1504,0.06947483588621445,6.95
7,1586,494,82004,1504,0.3114754098360656,31.15
8,693,537,139003,1504,0.7748917748917749,77.49
1,51984,4072,1232364,1503,0.0783317943982764,7.83
2,28938,1848,670738,1503,0.06386066763425254,6.39
3,16934,873,358336,1503,0.05155308846108421,5.16
4,8978,570,270527,1503,0.06348852751169526,6.35
5,4132,366,147418,1503,0.08857696030977735,8.86
6,1505,358,131201,1503,0.2378737541528239,23.79
7,953,149,55885,1503,0.15634837355718784,15.63
8,547,63,55307,1503,0.11517367458866545,11.52
9,1,1,271,1503,1.0,100.0
10,2841,1649,1853413,1503,0.5804294262583597,58.04
1,43513,1562,191599,1507,0.035897318042883736,3.59
